,list_countries,2022_tons,2023_tons,2024_tons,2022_mln_$,2023_mln_$,2024_mln_$,product,status
0,World,17655.0,12996.0,16369.0,563.25,350.971,549.088,parfum,Nan
1,France,6887.0,4236.0,6094.0,316.569,176.841,287.72,parfum,unfriendly
2,Poland,2571.0,2414.0,2322.0,27.625,28.326,35.864,parfum,unfriendly
3,Spain,2209.0,1796.0,2273.0,52.434,34.301,51.377,parfum,unfriendly
4,Italy,1444.0,854.0,1475.0,64.796,42.537,72.193,parfum,unfriendly
5,Germany,1030.0,684.0,886.0,32.689,17.981,27.41,parfum,unfriendly
6,Belarus,1210.0,1324.0,754.0,5.157,5.262,5.787,parfum,friendly
7,United States of America,493.0,406.0,574.0,17.038,11.432,18.953,parfum,unfriendly
8,United Arab Emirates,252.0,194.0,350.0,3.924,3.256,5.089,parfum,friendly
9,Kazakhstan,29.0,167.0,270.0,0.312,2.281,5.743,parfum,friendly
10,United Kingdom,223.0,177.0,201.0,18.249,14.931,16.448,parfum,unfriendly
11,Switzerland,172.0,85.0,179.0,8.119,3.693,7.058,parfum,unfriendly
12,Czech Republic,245.0,207.0,164.0,3.951,4.076,3.538,parfum,unfriendly
13,China,57.0,49.0,79.0,0.527,0.398,1.035,parfum,friendly
14,Area Nes,,,38.0,0.0,0.0,0.271,parfum,friendly
15,Greece,16.0,24.0,34.0,0.248,0.334,0.503,parfum,unfriendly
16,Ukraine,32.0,36.0,26.0,0.174,0.141,1.051,parfum,unfriendly
17,Denmark,18.0,12.0,15.0,1.352,1.086,1.261,parfum,unfriendly
18,Sweden,460.0,113.0,15.0,5.768,1.278,0.329,parfum,unfriendly
19,Bahrain,8.0,4.0,8.0,0.621,0.369,0.677,parfum,friendly
20,Latvia,31.0,,5.0,0.393,0.0,0.074,parfum,unfriendly
21,Armenia,,8.0,4.0,0.0,0.07,0.121,parfum,friendly
22,Bulgaria,6.0,3.0,4.0,0.128,0.076,0.103,parfum,unfriendly
23,Oman,2.0,3.0,4.0,0.172,0.293,0.398,parfum,friendly
24,Australia,0.0,0.0,2.0,0.004,0.004,0.136,parfum,unfriendly
25,Belgium,11.0,0.0,1.0,0.339,0.037,0.182,parfum,unfriendly
26,Kyrgyzstan,,,1.0,0.0,0.0,0.011,parfum,friendly
27,Netherlands,2.0,2.0,1.0,0.046,0.053,0.132,parfum,unfriendly
28,Uzbekistan,,,1.0,0.0,0.0,0.006,parfum,friendly
29,Austria,0.0,1.0,0.0,0.008,0.025,0.016,parfum,unfriendly
30,Canada,0.0,0.0,0.0,0.036,0.035,0.061,parfum,unfriendly
31,Georgia,0.0,0.0,0.0,0.004,0.001,0.008,parfum,friendly
32,Israel,1.0,0.0,0.0,0.013,0.003,0.002,parfum,friendly
33,Japan,0.0,0.0,0.0,0.022,0.006,0.014,parfum,unfriendly
34,Lithuania,,0.0,0.0,0.0,0.001,0.001,parfum,unfriendly
35,Slovakia,0.0,0.0,0.0,0.009,0.006,0.005,parfum,unfriendly
36,Slovenia,,,0.0,0.0,0.0,0.002,parfum,unfriendly
37,Thailand,,0.0,0.0,0.0,0.01,0.005,parfum,friendly
38,European Union Nes,,,,0.0,0.0,0.0,parfum,friendly
39,Brazil,0.0,,,0.001,0.0,0.0,parfum,friendly
40,Chile,0.0,,,0.004,0.0,0.0,parfum,friendly
41,Cyprus,,,,0.0,0.0,0.0,parfum,unfriendly
42,Hungary,,,,0.0,0.0,0.0,parfum,unfriendly
43,Indonesia,,0.0,,0.0,0.001,0.0,parfum,friendly
44,Ireland,1.0,,,0.401,0.0,0.0,parfum,unfriendly
45,"Korea, Republic of",1.0,1.0,,0.052,0.017,0.0,parfum,unfriendly
46,Luxembourg,1.0,,,0.039,0.0,0.0,parfum,unfriendly
47,Mexico,1.0,,,0.019,0.0,0.0,parfum,friendly
48,Morocco,,0.0,,0.0,0.004,0.0,parfum,friendly
49,Saudi Arabia,1.0,,,0.021,0.0,0.0,parfum,friendly
50,Serbia,,,,0.0,0.0,0.0,parfum,friendly
51,India,1.0,,,0.003,0.0,0.0,parfum,friendly
52,Egypt,0.0,0.0,,0.009,0.005,0.0,parfum,friendly
53,World,17655.0,12996.0,16369.0,563.25,350.971,549.088,lift,Nan
54,France,6887.0,4236.0,6094.0,316.569,176.841,287.72,lift,unfriendly
55,Poland,2571.0,2414.0,2322.0,27.625,28.326,35.864,lift,unfriendly
56,Spain,2209.0,1796.0,2273.0,52.434,34.301,51.377,lift,unfriendly
57,Italy,1444.0,854.0,1475.0,64.796,42.537,72.193,lift,unfriendly
58,Germany,1030.0,684.0,886.0,32.689,17.981,27.41,lift,unfriendly
59,Belarus,1210.0,1324.0,754.0,5.157,5.262,5.787,lift,friendly
60,United States of America,493.0,406.0,574.0,17.038,11.432,18.953,lift,unfriendly
61,United Arab Emirates,252.0,194.0,350.0,3.924,3.256,5.089,lift,friendly
62,Kazakhstan,29.0,167.0,270.0,0.312,2.281,5.743,lift,friendly
63,United Kingdom,223.0,177.0,201.0,18.249,14.931,16.448,lift,unfriendly
64,Switzerland,172.0,85.0,179.0,8.119,3.693,7.058,lift,unfriendly
65,Czech Republic,245.0,207.0,164.0,3.951,4.076,3.538,lift,unfriendly
66,China,57.0,49.0,79.0,0.527,0.398,1.035,lift,friendly
67,Area Nes,,,38.0,0.0,0.0,0.271,lift,friendly
68,Greece,16.0,24.0,34.0,0.248,0.334,0.503,lift,unfriendly
69,Ukraine,32.0,36.0,26.0,0.174,0.141,1.051,lift,unfriendly
70,Denmark,18.0,12.0,15.0,1.352,1.086,1.261,lift,unfriendly
71,Sweden,460.0,113.0,15.0,5.768,1.278,0.329,lift,unfriendly
72,Bahrain,8.0,4.0,8.0,0.621,0.369,0.677,lift,friendly
73,Latvia,31.0,,5.0,0.393,0.0,0.074,lift,unfriendly
74,Armenia,,8.0,4.0,0.0,0.07,0.121,lift,friendly
75,Bulgaria,6.0,3.0,4.0,0.128,0.076,0.103,lift,unfriendly
76,Oman,2.0,3.0,4.0,0.172,0.293,0.398,lift,friendly
